sweep,param,value,fidelity_netqmpi,fidelity_native,abs_diff,stderr_netqmpi,stderr_native,shots
T1T2,t1t2_ns,1000000000000.0,0.998,1.0,0.0020000000000000018,0.0014127986409959495,0.0,1000
T1T2,t1t2_ns,300000000000.0,0.993,0.998,0.0050000000000000044,0.002636474919281427,0.0014127986409959495,1000
T1T2,t1t2_ns,100000000000.0,0.987,0.992,0.0050000000000000044,0.0035820385257559714,0.0028170906978654425,1000
T1T2,t1t2_ns,30000000000.0,0.968,0.969,0.0010000000000000009,0.005565608681896351,0.005480784615363026,1000
T1T2,t1t2_ns,10000000000.0,0.908,0.915,0.007000000000000006,0.009139803061335619,0.008819013550278736,1000
T1T2,t1t2_ns,3000000000.0,0.763,0.762,0.0010000000000000009,0.013447341744746431,0.01346684818359515,1000
T1T2,t1t2_ns,1000000000.0,0.591,0.578,0.013000000000000012,0.015547314880711718,0.015617810345883958,1000
T1T2,t1t2_ns,300000000.0,0.53,0.506,0.02400000000000002,0.015782902141241326,0.015810249839898167,1000
T1T2,t1t2_ns,100000000.0,0.53,0.493,0.03700000000000003,0.015782902141241326,0.015809838708854686,1000
depolar,single_qubit_gate_depolar_prob,0.0,1.0,1.0,0.0,0.0,0.0,1000
depolar,single_qubit_gate_depolar_prob,0.05,0.905,0.903,0.0020000000000000018,0.009272270487857868,0.009359006357514668,1000
depolar,single_qubit_gate_depolar_prob,0.1,0.829,0.833,0.0040000000000000036,0.011906258858264422,0.01179453263168999,1000
depolar,single_qubit_gate_depolar_prob,0.15,0.769,0.739,0.030000000000000027,0.01332812815064441,0.013888088421377507,1000
depolar,single_qubit_gate_depolar_prob,0.2,0.705,0.716,0.01100000000000001,0.01442133835675455,0.014259873772232349,1000
depolar,single_qubit_gate_depolar_prob,0.3,0.638,0.62,0.018000000000000016,0.015197236590906913,0.015349267083479915,1000
depolar,single_qubit_gate_depolar_prob,0.4,0.597,0.565,0.03200000000000003,0.01551099609954177,0.015677212762477903,1000
depolar,single_qubit_gate_depolar_prob,0.5,0.561,0.519,0.04200000000000004,0.015693278816104682,0.01579996835439869,1000
